# size duration
7.280000000012072008e-05 4.153513632880286879e-08
1.646400000000000641e-02 5.675328539188832622e+00
1.657200000000029483e-02 4.679649328184295465e-01
7.691199999999995263e-03 2.635353695605756608e-01
3.926399999999996560e-03 4.859169956195223683e-02
1.207279999999999465e-02 8.102621209303021432e-01
5.659999999999998366e-03 1.448637343198181937e-01
5.866399999999993842e-03 2.241887311312900921e-01
1.059839999999998006e-02 7.894179057722668924e-01
1.080239999999998979e-02 8.406192128572053113e-01
4.049599999999997646e-02 2.216296159393596366e+00
1.134720000000000173e-02 5.555631913284397871e-01
9.307999999999982954e-03 3.149259284591779395e-01
4.402400000000028513e-03 1.077014845717921658e-02
5.847199999999996844e-03 7.794863713831343133e-02
8.207200000000025586e-03 8.564312832526266295e-02
2.551200000000031221e-03 1.508685752764269902e-02
3.928800000000010062e-03 4.231371524570360504e-02
3.847199999999995068e-03 4.167541378332487167e-02
1.403600000000004844e-02 9.619542649962100622e-01
1.138240000000001473e-02 5.525440788123917590e-01
4.922399999999993447e-03 5.047104450968691036e-02
1.295120000000005156e-02 5.821350449460365173e-01
1.168000000000002370e-02 1.015513297811788007e+00
1.228960000000001163e-02 9.010271159664988705e-01
1.284799999999997056e-02 4.753896040760803854e-01
1.711680000000004309e-02 8.448557296010050788e-01
1.531199999999999228e-02 9.167746894565683702e-01
1.722080000000003608e-02 8.189201962001524393e-01
2.676000000000011703e-03 8.175024341775475462e-03
1.213679999999994763e-02 4.932524392559904935e-01
2.235679999999995449e-02 1.501308782233756300e+00
2.651120000000006804e-02 8.649972546384242511e-01
1.060559999999999281e-02 2.805165952154036746e-01
1.160079999999996669e-02 6.839468176121581422e-01
5.411999999999972388e-03 1.767138622909058543e-01
1.126879999999907955e-02 2.869434812195221784e-01
3.493599999999874584e-03 4.640187974934505133e-02
9.020800000000051000e-03 3.154792294618815607e-01
1.461519999999993935e-02 8.931641157989476110e-01
5.122399999999860398e-03 8.559398329950906881e-02
7.089600000000029212e-03 5.381439881699866257e-02
2.764000000000010893e-02 1.432975956099456827e+00
1.431840000000006441e-02 7.545728578947276111e-01
1.420640000000017444e-02 5.860843750573213606e-01
5.483200000000021390e-03 9.473705670044570148e-02
4.777600000000159497e-03 2.098541278949194594e-02
1.251360000000012462e-02 1.025724332332685756e-01
1.662800000000008716e-02 7.862903315675668914e-01
3.487199999999912592e-03 5.810705624812098104e-03
2.335360000000008540e-02 9.193096687918779208e-01
1.119199999999986872e-03 7.363318794220679447e-04
1.609840000000017923e-02 3.842925924946289928e-01
2.973600000000020671e-03 8.148307603635079888e-03
3.744799999999992579e-03 2.447345630003847083e-02
1.392079999999995543e-02 1.935709085698820719e-01
8.886399999999960997e-03 1.310009112277653043e-01
9.011999999999797950e-03 3.069408114390876491e-02
1.470879999999996635e-02 8.955430343743450705e-02
1.452880000000011940e-02 5.465366734150982619e-01
1.051679999999999282e-02 1.776373952293513470e-01
5.269599999999874385e-03 1.875525942325163148e-02
