# hist edge err
4.241824598481704811e+01 1.118872211587422201e-04 2.999422938190317467e+01
5.725995397577250401e+01 1.657723885589317860e-04 2.862997698788625200e+01
3.912720619582091786e+01 3.638945990099393298e-04 1.597361504007096045e+01
3.081015770789284147e+01 5.391471540435070287e-04 1.164514502139489771e+01
2.673663107270487060e+01 7.988017808015708847e-04 8.912210357568289609e+00
4.010167032675990839e+01 1.183506729519468890e-03 8.967006086192135683e+00
3.247969939280993401e+01 1.753486550082959282e-03 6.629890875947412887e+00
2.009517223584044388e+01 2.597970087225649673e-03 4.284305115970556521e+00
1.479614526478620640e+01 3.849159021949681223e-03 3.020250504901975663e+00
1.706041118314485416e+01 5.702923697662180130e-03 2.664388593838176611e+00
1.797437938481409958e+01 8.449466108283339855e-03 2.246797423101762448e+00
1.364817929732004131e+01 1.251875025862529169e-02 1.608453355330808465e+00
1.049118071167343302e+01 1.854781190070614594e-02 1.158557096317091695e+00
1.183039854054477935e+01 2.748048480853345493e-02 1.010739158695562523e+00
7.402029673879028771e+00 4.071515547789694017e-02 6.568239214007790538e-01
3.894489956037156642e+00 6.032367686157238951e-02 3.914109676964528939e-01
1.805479654835723702e+00 8.937571151054239660e-02 2.189465682879824793e-01
6.451407572787669631e-01 1.324192791886045217e-01 1.075234595464611559e-01
1.814310151800574700e-01 1.961927374280119651e-01 4.684528668519117450e-02
5.714610097970872910e-02 2.906796537132130820e-01 2.159919594132769100e-02
2.755033355528350991e-02 4.306717067640523089e-01 1.232088372648147689e-02
