# ezz df
5.497758724690738133e-03 0.000000000000000000e+00
1.049572120168231794e-02 0.000000000000000000e+00
1.549368367867389774e-02 0.000000000000000000e+00
2.049164615566547928e-02 0.000000000000000000e+00
2.548960863265705909e-02 0.000000000000000000e+00
3.048757110964863890e-02 0.000000000000000000e+00
3.548553358664021523e-02 0.000000000000000000e+00
4.048349606363179504e-02 0.000000000000000000e+00
4.548145854062337484e-02 0.000000000000000000e+00
5.047942101761495465e-02 0.000000000000000000e+00
5.547738349460653445e-02 0.000000000000000000e+00
6.047534597159811426e-02 6.173973514578450228e-01
6.547330844858970100e-02 2.390062619966845769e+00
7.047127092558128081e-02 2.290197787327020507e+00
7.546923340257286061e-02 2.246273177867263549e+00
8.046719587956444042e-02 2.174151017898866112e+00
8.546515835655602022e-02 2.201579056972245763e+00
9.046312083354760003e-02 2.238709158437296232e+00
9.546108331053917984e-02 2.104646489863557512e+00
1.004590457875307596e-01 2.172341106128751420e+00
1.054570082645223394e-01 2.157211416698435968e+00
1.104549707415139193e-01 2.180493456575501643e+00
1.154529332185054991e-01 2.142515932815315605e+00
1.204508956954970789e-01 2.134594235655892014e+00
1.254488581724886587e-01 2.166993706101393080e+00
1.304468206494802385e-01 2.162283725667778711e+00
1.354447831264718183e-01 2.164219500964719600e+00
1.404427456034633981e-01 2.180878503967683901e+00
1.454407080804549779e-01 2.150680348232925532e+00
1.504386705574465577e-01 2.191151570143767380e+00
1.554366330344381375e-01 2.176212397544649235e+00
1.604345955114297173e-01 2.155787450659581772e+00
1.654325579884212971e-01 2.203830588517192712e+00
1.704305204654128769e-01 2.193466511705569388e+00
1.754284829424044567e-01 2.212464927760972255e+00
1.804264454193960365e-01 2.192422860772739845e+00
1.854244078963876163e-01 2.183368419795378212e+00
1.904223703733791961e-01 2.238797339222296401e+00
1.954203328503707759e-01 2.121056806718238708e+00
2.004182953273623558e-01 2.156113312594736264e+00
2.054162578043539356e-01 2.196536846161688317e+00
2.104142202813455154e-01 2.227930621861970995e+00
2.154121827583370952e-01 2.189588777783450624e+00
2.204101452353286750e-01 2.221135887331536107e+00
2.254081077123202548e-01 2.233903550848176156e+00
2.304060701893118346e-01 2.289993525327585377e+00
2.354040326663034144e-01 2.221665285882061358e+00
2.404019951432949942e-01 2.197833958838268043e+00
2.453999576202865740e-01 2.236172339219027805e+00
2.503979200972781816e-01 2.177169735311386578e+00
2.553958825742697614e-01 2.234202178033267927e+00
2.603938450512613412e-01 2.214696901015171804e+00
2.653918075282529210e-01 2.178051029816441719e+00
2.703897700052445008e-01 2.166211143944392958e+00
2.753877324822360806e-01 2.195412376887951211e+00
2.803856949592276604e-01 2.181257220122024165e+00
2.853836574362192402e-01 2.177303303819397406e+00
2.903816199132108200e-01 2.154310720835790782e+00
2.953795823902023998e-01 2.176212820979344542e+00
3.003775448671939796e-01 0.000000000000000000e+00
3.053755073441855594e-01 2.195878053160302379e+00
3.103734698211771392e-01 2.172271627024839891e+00
3.153714322981687190e-01 2.194755286825514684e+00
