# itime ezz other fcc hcp bcc cubicDiamond hexDiamond
1.100000000000000000e+05 5.497758724690738133e-03 1.230952380952380909e-01 8.769047619047618536e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+05 1.049572120168231794e-02 1.246520146520146560e-01 8.753479853479853023e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.100000000000000000e+05 1.549368367867389774e-02 1.277838827838827795e-01 8.722161172161172482e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.100000000000000000e+05 2.049164615566547928e-02 1.289010989010989094e-01 8.710989010989010906e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.100000000000000000e+05 2.548960863265705909e-02 1.428388278388278421e-01 8.571611721611721579e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.100000000000000000e+05 3.048757110964863890e-02 1.489194139194139066e-01 8.510805860805861212e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.100000000000000000e+05 3.548553358664021523e-02 1.668131868131868256e-01 8.331868131868132021e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.100000000000000000e+05 4.048349606363179504e-02 1.698168498168498297e-01 8.301831501831501425e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.100000000000000000e+05 4.548145854062337484e-02 1.936996336996336943e-01 8.063003663003662780e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.010000000000000000e+06 5.047942101761495465e-02 1.995970695970696041e-01 8.004029304029304237e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.110000000000000000e+06 5.547738349460653445e-02 2.310805860805860701e-01 7.689194139194138744e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.210000000000000000e+06 6.047534597159811426e-02 2.599267399267399248e-01 7.400183150183150538e-01 5.494505494505494501e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.310000000000000000e+06 6.547330844858970100e-02 2.286263736263736135e-01 5.652564102564102688e-01 2.061172161172161177e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.410000000000000000e+06 7.047127092558128081e-02 2.367032967032967061e-01 5.551098901098900917e-01 2.081868131868131744e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.510000000000000000e+06 7.546923340257286061e-02 2.481501831501831401e-01 5.444688644688644441e-01 2.073809523809523880e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.610000000000000000e+06 8.046719587956444042e-02 2.603846153846153810e-01 5.322161172161171683e-01 2.073992673992673952e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.710000000000000000e+06 8.546515835655602022e-02 2.754395604395604158e-01 5.179304029304029333e-01 2.066300366300366231e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.810000000000000000e+06 9.046312083354760003e-02 2.810805860805860590e-01 5.004395604395603936e-01 2.184798534798534919e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.910000000000000000e+06 9.546108331053917984e-02 2.820512820512820484e-01 5.030769230769230882e-01 2.148717948717948634e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.010000000000000000e+06 1.004590457875307596e-01 2.748168498168498397e-01 5.093589743589743701e-01 2.158241758241758179e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.110000000000000000e+06 1.054570082645223394e-01 2.721794871794872006e-01 5.131135531135531114e-01 2.147069597069597158e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.210000000000000000e+06 1.104549707415139193e-01 2.639194139194139255e-01 5.165384615384615019e-01 2.195421245421245449e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.310000000000000000e+06 1.154529332185054991e-01 2.830769230769230593e-01 4.982417582417582591e-01 2.186813186813186816e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
