# hist edge err
3.117510105056758504e+06 3.383855153428233217e-08 2.579628041403755924e+04
1.554081222921228036e+06 7.626985859023450947e-08 1.213163743690221054e+04
8.321568385235245805e+05 1.145047569938281182e-07 7.245191437194950595e+03
8.830690826691932743e+05 1.719072201858574609e-07 6.091290581095406196e+03
4.952545532284047222e+05 2.580861540418076687e-07 3.722981877532512044e+03
5.442596450916298199e+05 3.874675120456128192e-07 3.185256837452727268e+03
4.127616464000657434e+05 5.817091329374357813e-07 2.263892305987435066e+03
3.411575815726213623e+05 8.733261623828437513e-07 1.679764175888381487e+03
2.520302208335000614e+05 1.311133937421563007e-06 1.178316114842385105e+03
1.117199336877260212e+05 1.968419447286615196e-06 6.402735300116588633e+02
2.480823574532061684e+04 2.955209235202887931e-06 2.462424134602714503e+02
4.776605333637390686e+03 4.436687330978615924e-06 8.818390052210682484e+01
3.068846011976380055e+02 6.660846290809167848e-06 1.824239601035742098e+01
