# hist edge err
7.025242943636107157e+03 3.231721758481951590e-09 4.056025904630825607e+03
2.142631309632206921e+03 7.064096181645590608e-09 1.515069128623546703e+03
2.173839045764920684e+03 1.044402552424569833e-08 1.255066558247296143e+03
9.802228120470015256e+02 1.544113589994832874e-08 6.931221974721813694e+02
9.944998996318321360e+02 2.282919333423332548e-08 5.741747847614941520e+02
6.726566233802399211e+02 3.375218453284569868e-08 3.883584825807662355e+02
1.971533675998886793e+03 4.990145486353980995e-08 5.468050584706148811e+02
1.230922677079695632e+03 7.377760082683297716e-08 3.553367694817885649e+02
9.713287458000888819e+02 1.090776691510956391e-07 2.595985269077693260e+02
1.079331174782303378e+03 1.612676174624066139e-07 2.250561074832661461e+02
7.935157898991395768e+02 2.384286778806726126e-07 1.587031579798279211e+02
9.446195294468229804e+02 3.525086767600913542e-07 1.424067522189629926e+02
1.132628604605745295e+03 5.211720682918033648e-07 1.282449357210325047e+02
9.526937944852378450e+02 7.705351461530557675e-07 9.673139907771825108e+01
9.831776484807578527e+02 1.139209960739268289e-06 8.081670487574957917e+01
1.195200035138825115e+03 1.684283113011665928e-06 7.328241600974271819e+01
1.091043555619296967e+03 2.490155197497900683e-06 5.758307648171120263e+01
1.033961348194866332e+03 3.681609617600463017e-06 4.610205787899086971e+01
1.080304082101878976e+03 5.443134383763516691e-06 3.875569306468464248e+01
1.045727345451258088e+03 8.047488733750887219e-06 3.135927915961323720e+01
9.763617039431353533e+02 1.189793790743585734e-05 2.492048824068721302e+01
8.871145390658653014e+02 1.759069582234984184e-05 1.953598740257131539e+01
7.868399508665983149e+02 2.600724444200111201e-05 1.513153751666535207e+01
6.711549128421498835e+02 3.845082481652767928e-05 1.149332226154255743e+01
5.479392865416069753e+02 5.684823443592554895e-05 8.540725363323169006e+00
4.168950552934570055e+02 8.404817774137396575e-05 6.126835902015285384e+00
3.283248572677617858e+02 1.242623671911502990e-04 4.471663329942916931e+00
2.497941735154847152e+02 1.837176761578635485e-04 3.207766206773177142e+00
1.965940469795378647e+02 2.716203247675566838e-04 2.340405321184974685e+00
1.470678456972689787e+02 4.015813958121150474e-04 1.664788627275350263e+00
1.059102292884707168e+02 5.937244114571097126e-04 1.161886026785308390e+00
8.044628958107429639e+01 8.778013135972471221e-04 8.328023140480529385e-01
6.108302542731869522e+01 1.297799334647564955e-03 5.968202133794380249e-01
4.489249761980017439e+01 1.918752099047832350e-03 4.207890963258140160e-01
3.357086842367914414e+01 2.836809604776268159e-03 2.992631349311115629e-01
2.506129585142680583e+01 4.194126347923935599e-03 2.126512962989102473e-01
1.889628099956144069e+01 6.200872907625797070e-03 1.518618833766653964e-01
1.440473706331320791e+01 9.167779324426051160e-03 1.090454677291745889e-01
1.105624463274639524e+01 1.355424937640825438e-02 7.856934114847133332e-02
8.625859426891166137e+00 2.003949589715557297e-02 5.707485533747780337e-02
6.611100734167308701e+00 2.962771191970863666e-02 4.109366329522014250e-02
4.512541057522735599e+00 4.380356262962897818e-02 2.792176667759885614e-02
2.392171756502596836e+00 6.476207491984746489e-02 1.671948243495624195e-02
8.011403048343143096e-01 9.574852126495767002e-02 7.957474954961627975e-03
1.678650587513064729e-01 1.415609264491991537e-01 2.995680433195084535e-03
2.097236133108204212e-02 2.092930066429093405e-01 8.708299052028644271e-04
8.315472549967837515e-04 3.094325795144362012e-01 1.426091777110854064e-04
