# hist edge err
3.756173311977806152e+05 4.961947603002898096e-08 8.388579681649520353e+03
4.865214255534405238e+05 7.405684692262442721e-08 7.814659980417160114e+03
4.179858187601569225e+05 1.105295141126022125e-07 5.929025976592309235e+03
3.371969984558179858e+05 1.649648074098020671e-07 4.359010425119324282e+03
7.247526517515288433e+05 2.462092401494625386e-07 5.230996656175952012e+03
4.432762766524654580e+05 3.674661940736687901e-07 3.348653864641764812e+03
5.014633963175804238e+05 5.484416576121015119e-07 2.915386317927841446e+03
3.875932718573818565e+05 8.185467307069021234e-07 2.098012568048702633e+03
3.365988011376615032e+05 1.221677348996793117e-06 1.600367529951269489e+03
1.815864272845498635e+05 1.823348000868438558e-06 9.621629271004259181e+02
5.132680078714934643e+04 2.721338768375308565e-06 4.187188409805256128e+02
1.203624275360228785e+04 4.061585988376979418e-06 1.659737294839353012e+02
1.530401086144135888e+03 6.061898993497572126e-06 4.844399990426678215e+01
2.363140354238781171e+01 9.047357242349294033e-06 4.927488262987275824e+00
