# hist edge err
1.309655053228756515e+03 7.064096181645589947e-08 7.561296975271762904e+02
1.398012539257121716e+03 1.544113589994833073e-07 5.283990726606095905e+02
4.052499413946903815e+02 2.282919333423332746e-07 2.339711627533045828e+02
6.395705020957618672e+02 3.375218453284569736e-07 2.417349277768714728e+02
3.089933044398987931e+02 4.990145486353981127e-07 1.381860066639802369e+02
6.687868518071059043e+02 7.377760082683297187e-07 1.671967129517764761e+02
4.240798933817903844e+02 1.090776691510956364e-06 1.094969576352727358e+02
7.649007619642138422e+01 1.612676174624066139e-06 3.824503809821069211e+01
2.328124957875141945e+02 2.384286778806726338e-06 5.487443150543860781e+01
1.662172380838237018e+02 3.525086767600913436e-06 3.813284965693829776e+01
2.426023462433215343e+02 5.211720682918033648e-06 3.788812105582166367e+01
1.600883802549436155e+02 7.705351461530556828e-06 2.531219542663744093e+01
1.542990862201272648e+02 1.139209960739268247e-05 2.043741323641275898e+01
1.318286103705231653e+02 1.684283113011666012e-05 1.553615072456602775e+01
9.659629288252152435e+01 2.490155197497900683e-05 1.093737640143841894e+01
1.097301143652927067e+02 3.681609617600462763e-05 9.587164605883586432e+00
7.818479500811281468e+01 5.443134383763516352e-05 6.655531735669004689e+00
7.395868891137041601e+01 8.047488733750887897e-05 5.323662918312725090e+00
5.831806317675550133e+01 1.189793790743585734e-04 3.887870878450366607e+00
5.276862146556904776e+01 1.759069582234984116e-04 3.041532776821600503e+00
4.731194780856515791e+01 2.600724444200111268e-04 2.368559943111269828e+00
4.202598475484585094e+01 3.845082481652768334e-04 1.835913668274187671e+00
3.645394751444491988e+01 5.684823443592555573e-04 1.406241555205281157e+00
3.192149500116134675e+01 8.404817774137396304e-04 1.082240037065082428e+00
2.918501837848808478e+01 1.242623671911502990e-03 8.510524185838702627e-01
2.578294631515097990e+01 1.837176761578635485e-03 6.578652347676215983e-01
2.202580235393444141e+01 2.716203247675567055e-03 5.000700823743289281e-01
1.859145914455521620e+01 4.015813958121150148e-03 3.778470900110910691e-01
1.567568767049630196e+01 5.937244114571096909e-03 2.853428430604170174e-01
1.372234344031778264e+01 8.778013135972470571e-03 2.195645212221842557e-01
1.122758981048108140e+01 1.297799334647565042e-02 1.633373973918871291e-01
8.937710825135109616e+00 1.918752099047832393e-02 1.198532600933192027e-01
6.971453312614414699e+00 2.836809604776268159e-02 8.705479623297021630e-02
5.388842421327641574e+00 4.194126347923935599e-02 6.294672267240933317e-02
4.124308158041523953e+00 6.200872907625796376e-02 4.528926520496577568e-02
3.200640627763325252e+00 9.167779324426052201e-02 3.281198598670811983e-02
1.538935433510019601e+00 1.355424937640825334e-01 1.871193067465602364e-02
2.012858396440658226e-01 2.003949589715557367e-01 5.565566183491678538e-03
2.706247464449317713e-03 2.962771191970863804e-01 5.307387934553103523e-04
