# size duration
5.450000000003075912e-06 6.919886743796848424e-05
3.454999999995260636e-05 1.628560728669168484e-02
2.180000000001280848e-05 1.089876232250176942e-02
2.209999999993098561e-05 6.489804691503054529e-03
1.945000000003999194e-05 1.571124957243836412e-02
2.639999999998399920e-05 1.827054839201767630e-02
1.619999999996298880e-05 3.821245907368750038e-03
2.890000000000400929e-05 8.469393906229090441e-03
2.449999999997798990e-05 7.502562031629947739e-03
2.294999999996204156e-05 8.248847978320185403e-03
9.050000000072021267e-06 1.314999192586672160e-03
7.250000000036957784e-06 9.233755177921608610e-04
2.280000000009000088e-05 7.395398061343517147e-03
2.905000000004995600e-05 9.172942034906346812e-03
3.019999999999899935e-05 2.052803272973956900e-02
1.239999999994793444e-05 4.730081784330090154e-03
5.799999999995045230e-06 3.634954667196667951e-04
1.495000000004001808e-05 4.375308817479136095e-03
2.600000000009300601e-05 7.754492933254933384e-03
1.139999999987201598e-05 1.364304384646228708e-03
3.559999999992898272e-05 3.101039796628294459e-02
2.319999999997996408e-05 8.830051725385385658e-03
1.394999999995987124e-05 1.337192978462124759e-03
1.055000000000998715e-05 1.162100531609217263e-03
1.995000000007992984e-05 1.010247804774969810e-02
2.475000000000003239e-05 1.189259340764933781e-02
1.929999999999011499e-05 1.277659949177301080e-02
2.549999999920020757e-06 2.198165722921182740e-05
2.514999999988988717e-05 1.453577730909983226e-02
9.900000000100149869e-06 1.679583819535670347e-03
3.450000000004989874e-05 2.309075989176805760e-02
4.449999999920012730e-06 1.016983198100124985e-04
1.375000000000984809e-05 3.762074743020857315e-03
8.800000000060061861e-06 7.089804298525148075e-04
5.800000000000032560e-06 2.921909015450939017e-04
2.484999999997016505e-05 5.431849666286840683e-03
1.844999999996003483e-05 9.392560467831155210e-03
1.640000000008995373e-05 1.141816623500183960e-02
4.470000000006998757e-05 2.532261811350091513e-02
1.474999999991999204e-05 8.135812706649699771e-03
1.685000000004998472e-05 1.022768452275100298e-02
1.050000000012022219e-05 1.702063562569536065e-03
2.409999999990978387e-05 1.081448316585967642e-02
1.899999999990017313e-05 6.980773407111940526e-03
2.924999999998978764e-05 2.429210408515649483e-02
6.749999999999811706e-06 5.713119760555080296e-04
2.489999999986990467e-05 4.283161920030694597e-03
2.224999999997021027e-05 8.028597445201721139e-03
3.344999999990022621e-05 3.070524388622290074e-02
1.280000000001982677e-05 3.155864870796657416e-03
5.174999999998973824e-05 2.485140003220724994e-02
1.475000000008977810e-05 3.001661773750381561e-03
1.450000000007001244e-05 8.026943768813736124e-04
1.609999999999025405e-05 8.193384250610917172e-03
2.319999999997974724e-05 9.774888021257139084e-03
2.770000000015988839e-05 1.803576072385605633e-02
2.300000000003991560e-05 1.473396153983376998e-02
2.459999999995018255e-05 1.155967654224764746e-02
2.490000000003990757e-05 1.149724062365182348e-02
2.479999999989001419e-05 5.072067958545436149e-03
1.934999999989028829e-05 6.236635701826178692e-03
1.889999999992982363e-05 3.408924833590974701e-03
1.109999999995012546e-05 1.298520753471546713e-03
1.730000000001001570e-05 6.665951650819127577e-03
2.734999999999022935e-05 2.618826689446876119e-02
1.020000000003006349e-05 7.466010827100052431e-04
1.999999999998010314e-05 1.034083654366346403e-02
2.145000000002006413e-05 1.081555686686362996e-02
2.649999999995971550e-05 2.716238750063945662e-02
3.000000000060246141e-06 3.078669553263817731e-05
2.889999999983010326e-05 1.658031484770716713e-02
2.934999999997011180e-05 2.039609459688907639e-02
1.900000000007017603e-05 2.953164886244844314e-03
2.924999999998978764e-05 2.364515178029346840e-02
1.789999999985986828e-05 6.195927183843304674e-03
2.234999999994966707e-05 8.053519082160138370e-03
2.495000000011030061e-05 7.664728367098029918e-03
6.100000000089540741e-06 3.821653042632692674e-04
2.069999999996033346e-05 8.877669756032394166e-03
5.899999999969297859e-06 1.904962242732702164e-04
2.170000000004026347e-05 8.873788504191645540e-03
3.184999999998952558e-05 1.763218352934851213e-02
2.700000000000011419e-05 2.168883412068799837e-02
2.494999999994983869e-05 2.040741453602758215e-02
2.240000000003003477e-05 1.511003248221540543e-02
3.109999999992979491e-05 1.105710567679449308e-02
2.880000000002932298e-05 1.175533081572653973e-02
1.490000000014049530e-05 5.361515218787232112e-03
1.979999999985986026e-05 8.433970406931086752e-03
1.320000000008033497e-05 5.020384317141351506e-03
2.205000000003037863e-05 6.859602907550835932e-03
1.600000000002033823e-05 3.839367204102914471e-03
2.804999999996959231e-05 1.472768802139041294e-02
2.639999999998979968e-05 1.653643423745663685e-02
1.670000000000056856e-05 9.031530148115776008e-03
2.414999999998928421e-05 1.127573974393928161e-02
2.275000000002014994e-05 2.305056228573513621e-03
2.405000000002023575e-05 1.523090859763506777e-02
1.130000000006993466e-05 3.270526537875986101e-03
1.150000000002017464e-05 4.239049728143391010e-03
2.349999999979972276e-06 1.895865445037139515e-05
2.810000000004996001e-05 2.387659622382564545e-02
2.290000000006002512e-05 1.008205367784119171e-02
1.780000000004954702e-05 8.660308379037764959e-03
8.550000000029887859e-06 1.218707846035723763e-03
1.809999999996970282e-05 4.934568430148332172e-03
3.384999999996030073e-05 3.576816071216251669e-02
2.215000000000983543e-05 1.751818482179192532e-02
2.669999999990995548e-05 1.621723431199027440e-02
4.184999999989023889e-05 2.753158134682583830e-02
1.945000000004061536e-05 4.843235544654718450e-03
9.700000000160101388e-06 1.381555974740945533e-03
2.284999999998919840e-05 9.106367556843943112e-03
2.999999999889375879e-06 3.659076414054111972e-05
6.800000000069771067e-06 3.957854729494649166e-04
2.885000000011055804e-05 2.798064603258452326e-02
1.320000000008033497e-05 3.582073421000123940e-03
4.274999999998984473e-05 1.519668183950799098e-02
2.479999999990042253e-05 1.543184591239029659e-02
2.254999999989990705e-05 1.149580753703791612e-02
1.384999999999060594e-05 5.494759962856326022e-03
2.515000000005967323e-05 1.294708641765488985e-02
3.320000000005002977e-05 2.993242770800049607e-02
1.635000000001045339e-05 5.985012872742166354e-03
6.939999999998943542e-05 2.873974992364041262e-02
1.514999999999069175e-05 3.253302272415057109e-03
2.504999999991975451e-05 1.080613294652212411e-02
4.150000000010048429e-06 1.925917637136487584e-04
2.515000000005967323e-05 1.348071661208647895e-02
1.795000000009983054e-05 1.010248506357409697e-02
2.845000000004007518e-05 4.980284247204571670e-03
2.739999999987977747e-05 7.026214448330093780e-03
2.339999999992955354e-05 1.648671215637729365e-02
8.900000000020003021e-06 6.812993778580339350e-04
1.045000000004028817e-05 9.179909737878091079e-04
1.959999999990962027e-05 1.020278545682600999e-02
2.199999999996041927e-05 1.602592039819934061e-02
2.500000000001979805e-05 9.795918924278886747e-03
2.245000000008958579e-05 2.314021088409180457e-03
2.580000000015035544e-05 6.011975486248896314e-03
1.430000000013018080e-05 3.669523131860236327e-03
8.650000000000671041e-06 1.643972203524562926e-03
5.295000000001947454e-05 2.397810787492866968e-02
1.619999999995930251e-05 2.127011690595728005e-03
2.434999999992998321e-05 1.766995594934980818e-02
2.659999999992963132e-05 1.598045449883484653e-02
1.520000000005978374e-05 4.063169945371389834e-03
2.420000000005924357e-05 1.817457688641724300e-02
2.835000000005975102e-05 4.460801474521092040e-03
1.150000000002017464e-05 3.893833279419719757e-03
1.860000000000923415e-05 2.183403421660544581e-03
2.199999999995955191e-05 7.897232020308973810e-03
2.209999999993120245e-05 1.154622003791929731e-02
2.429999999986089121e-05 5.120646824148832911e-03
2.265000000004936676e-05 1.342897295263389273e-02
8.850000000119179200e-06 1.406912750683711119e-03
2.349999999990033672e-05 9.071073406151153318e-03
1.854999999992973381e-05 2.715725526337620186e-03
1.064999999998879343e-05 8.897746149051899943e-04
2.935000000013968102e-05 3.242611576594818523e-02
2.684999999994983066e-05 1.803388088104612708e-02
3.200000000000077782e-06 5.248701099035565324e-05
9.250000000010985546e-06 1.201667901737581753e-03
2.620000000004042706e-05 2.072194476310875236e-02
6.550000000049571725e-06 3.779277634143883612e-04
2.529999999993995385e-05 1.800520018149351018e-02
3.985000000007905829e-05 1.431000748781846230e-02
1.235000000005155585e-05 1.062398308779711857e-03
2.199999999919280413e-06 1.459458503202374224e-05
4.610000000005061438e-05 1.176675425814285164e-02
1.800000000000065437e-05 4.046483864064335731e-03
1.375000000001895539e-05 3.559555556370646440e-03
1.570000000009931507e-05 2.461671248403520321e-03
1.384999999999060594e-05 5.754278083169429500e-03
2.155000000015998285e-05 1.166802033247142656e-02
2.025000000000116984e-05 3.288789467821611606e-03
1.755000000002934768e-05 4.901178351354636316e-03
3.204999999992935722e-05 1.567707722510620211e-02
3.679999999994972015e-05 2.915395123215489687e-02
3.514999999996992752e-05 3.097684298807792252e-02
1.864999999991005797e-05 1.175550258464235116e-02
8.349999999920920679e-06 7.655970230922410323e-04
1.999999999998010314e-05 1.844015074393974551e-02
2.154999999998997995e-05 1.528600966382622287e-02
1.565000000003022307e-05 3.903118490254866343e-03
4.919999999990036510e-05 3.454839755255093015e-02
2.104999999995998961e-05 8.321489662325723402e-03
3.189999999987994106e-05 2.162382629453029823e-02
3.020000000000105933e-05 2.437792960425725491e-02
2.254999999989903969e-05 2.382463584323715397e-02
1.939999999999927893e-05 6.495715617041240147e-03
2.849999999989839827e-05 8.652330903963213055e-03
2.909999999999891840e-05 2.157974161662735979e-02
2.839999999999960612e-05 2.902601991591534369e-02
1.624999999979941101e-05 2.303015689451693923e-03
9.800000000099659547e-06 4.615963479359157457e-04
1.785000000019930366e-05 4.618795687662572043e-03
2.044999999999998208e-05 1.164484194385079219e-02
2.215000000000029445e-05 5.323602934574110136e-03
5.119999999989889583e-05 2.698919459220678121e-02
1.495000000010029972e-05 3.872446345404648767e-03
2.415000000000055991e-05 2.208496814515560625e-02
1.340000000000021729e-05 3.704099476796638389e-03
1.374999999999987343e-05 1.862038244381659978e-03
1.460000000010064358e-05 6.400858109463970595e-03
3.725000000010143808e-05 2.371120061321181291e-02
2.444999999990163375e-05 2.347739207027201708e-02
2.860000000000015308e-05 1.588013638040553302e-02
2.260000000000109144e-05 8.156353049138804004e-03
9.650000000100550368e-06 1.417543386485101576e-03
2.024999999999943512e-05 3.312031912177883144e-03
2.699999999999924682e-05 9.467292271505849469e-03
2.824999999989988297e-05 7.888355470693378044e-03
1.989999999999977898e-05 1.173595671009996545e-02
1.740000000000074820e-05 2.027965634014079147e-03
1.084999999999974873e-05 9.193028352920923178e-04
1.635000000000004505e-05 4.601988643451499113e-03
1.604999999989947801e-05 5.891412263684854718e-03
2.540000000000007530e-05 1.790280954987580331e-02
4.055000000010092198e-05 2.414387625292983147e-02
2.640000000000107538e-05 1.417169146541015848e-02
1.285000000010062815e-05 2.162410316569226588e-03
